,rho,lc,ls,lt,dc/r0,alpha,empty,final dc/rho,final alpha,final betas,final betat,E
0,0.08,10,16,32,1.082,0.642,,1.0702825012956725,0.46792358860919175,2.0307969955141245,1.6691551663157536,9.71831981507123
1,0.08,12,16,32,1.294,0.828,,1.3394654203410603,0.605083253369072,1.5180200976790748,1.2196804233784608,9.67732169251238
2,0.08,12,18,32,1.2690000000000001,0.763,,1.2284873905294145,0.4938308839415145,1.851854638828277,1.5202718421024493,9.70281641036751
3,0.08,14,20,32,1.183,0.941,,1.5083088574965269,0.5943232899302199,1.469177231140929,1.1802713122001225,9.62820108242645
4,0.08,16,24,32,1.3,0.902,,1.3268851009111018,0.5850923740019004,1.5129106765904523,1.617570146825345,9.63303039631407
5,0.08,16,26,32,1.2930000000000001,0.836,,1.2329404169667344,0.5192766473243113,1.6714231732568055,1.9321773214990443,9.70301004859061
6,0.08,16,28,32,1.278,0.7659999999999999,,1.1273816205785971,0.5020086026190514,1.756522987982152,2.2352370433696156,9.78166662608706
7,0.08,16,30,32,1.26,0.7190000000000001,,1.026617583315214,0.523037618708896,1.7359732817825573,2.3658508035185335,9.80971077013285
8,0.08,17,27,32,1.3619999999999999,0.847,,1.7125200853605778,0.6365113244196919,1.297293709236672,1.2486854488364163,9.67562121973893
9,0.08,18,26,32,1.433,0.9520000000000001,,1.4962331315804995,0.7029322120774828,1.2526650964503885,1.390397746674307,9.57863003536922
10,0.08,18,28,32,1.415,0.8809999999999999,,1.5191010978687418,0.5931527290674383,1.4169215239749393,1.4846434330517702,9.62853363841951
11,0.08,18,30,32,1.423,0.82,,1.715146335371261,0.6231615052375965,1.3056811155657,1.2896521728178616,9.71217969675924
12,0.08,18,32,32,1.415,0.777,,1.7912319485432573,0.6402949577035405,1.242090419280231,1.2490338406127313,9.75086742169522
13,0.08,20,32,32,1.535,0.8740000000000001,,1.6287667468772808,0.6578490522390446,1.2727302015396735,1.4824588905565177,9.61058383381618
14,0.12,12,26,32,1.004,0.777,,0.9806752279666344,0.5578064018612845,1.565690246501883,1.796272502313235,12.2193755904918
15,0.12,14,26,32,1.151,0.8,,1.1309576232458487,0.5250983238764475,1.6773497237983854,1.9491130355495023,12.1669081073776
16,0.12,14,28,32,1.126,0.774,,1.0888416441377307,0.5061921168670607,1.698828457769059,2.0796421739604845,12.2281389775015
17,0.12,16,26,32,1.306,0.8320000000000001,,1.2947817654883655,0.5414515144414678,1.6248508217775681,1.8868181675056015,12.1583523406851
18,0.12,16,28,32,1.291,0.773,,1.2423851311259624,0.5071221066379535,1.6975696385340264,2.0804300860052476,12.2180768405095
19,0.12,16,30,32,1.2819999999999998,0.716,,1.1832364527401622,0.49963516227367205,1.6978676026640505,2.2261616053832967,12.3118679273627
20,0.12,16,32,32,1.265,0.669,,1.102572919712241,0.5297376802603401,1.623852224240125,2.288620865226004,12.3990715042553
21,0.12,18,30,32,1.435,0.795,,1.3544402545439396,0.5150788112703144,1.6232207858139693,2.100234796853282,12.2914227675783
22,0.12,18,32,32,1.421,0.73,,1.2394221672703134,0.533615617418836,1.6130603159742352,2.274111823656077,12.3920885607847
23,0.12,20,32,32,1.579,0.802,,1.5372659383083072,0.530283833248742,1.4906631335542988,1.9154860132314186,12.3318281320945
24,0.16,14,32,32,1.158,0.664,,1.0855988356972341,0.5159802817693534,1.5672158904929872,2.0479495110171246,15.0677363488177
25,0.16,16,30,32,1.3119999999999998,0.725,,1.2579821911939,0.5088079523060267,1.6519536930790908,2.0828489786100506,14.8749794262557
26,0.16,16,32,32,1.3019999999999998,0.669,,1.2160020064424806,0.49974794724178384,1.6417958857035126,2.191954078089031,15.0001111767333
27,0.16,18,32,32,1.4409999999999998,0.703,,1.3638751657021895,0.4992815216797437,1.6462179879720118,2.204520397749361,14.9921739059021
28,0.2,16,32,32,1.3319999999999999,0.684,,1.2722583375167944,0.5054508372286335,1.6210625958605747,2.062298107917134,17.8489971495132
29,0.24,16,32,32,1.386,0.688,,1.3119608703278702,0.5128873133180595,1.6052923561821046,1.9442227065034456,21.0635498492
30,0.24,18,32,32,1.511,0.715,,1.4590321819875118,0.49907493223654503,1.6587727176039821,2.0377568434344315,20.9950491193138
31,0.28,16,32,32,1.569,0.619,,1.0000000000000118,1.0000000000000036,1.0000000000000036,1.0000000000000002,28.881700654246
